file_id	md5	size	urls	sample_id
VMRC_FRESH_127-33-0318-221-10245.R1.fq.gz	e2c39517804a0f2fd0653cc999426246	234563236	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10245.R1.fq.gz	VMRC_FRESH_127-33-0318-221-10245,vmrc:lib-694abd50
VMRC_FRESH_127-33-0318-221-10245.R2.fq.gz	dc4cda590369829fbe6a1e9eb643d852	251026087	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10245.R2.fq.gz	VMRC_FRESH_127-33-0318-221-10245,vmrc:lib-694abd50
VMRC_FRESH_127-33-0318-221-10245.unpaired.fq.gz	31fba797b970c0cf82d0e823c8a3891a	5444607	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10245.unpaired.fq.gz	VMRC_FRESH_127-33-0318-221-10245,vmrc:lib-694abd50
VMRC_FRESH_127-33-0318-221-10385.R1.fq.gz	a6bf26a8560ab051d85bdf62e3277f92	155702417	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10385.R1.fq.gz	vmrc:lib-5ff7f0ad,VMRC_FRESH_127-33-0318-221-10385
VMRC_FRESH_127-33-0318-221-10385.R2.fq.gz	562feaf03ff8f7693fa4772758182c9f	167107909	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10385.R2.fq.gz	vmrc:lib-5ff7f0ad,VMRC_FRESH_127-33-0318-221-10385
VMRC_FRESH_127-33-0318-221-10385.unpaired.fq.gz	3bd5dd7347ac4a7ff62255a91055cba4	3641332	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10385.unpaired.fq.gz	vmrc:lib-5ff7f0ad,VMRC_FRESH_127-33-0318-221-10385
VMRC_FRESH_127-33-0318-221-10485.R1.fq.gz	ae51e1c79d39b147a4acef8afafdcc16	178151757	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10485.R1.fq.gz	VMRC_FRESH_127-33-0318-221-10485,vmrc:lib-2b2a3687
VMRC_FRESH_127-33-0318-221-10485.R2.fq.gz	9989a677044051e97150867d951a5ca5	182879487	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10485.R2.fq.gz	VMRC_FRESH_127-33-0318-221-10485,vmrc:lib-2b2a3687
VMRC_FRESH_127-33-0318-221-10485.unpaired.fq.gz	8f6f9f5cd6b4db766ac1d8b2b33dab7e	2064650	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0318-221-10485.unpaired.fq.gz	VMRC_FRESH_127-33-0318-221-10485,vmrc:lib-2b2a3687
VMRC_FRESH_127-33-0739-543-10270.R1.fq.gz	5fc9ac3b2f03fbf1ba9d56e0ce68bd8b	166064535	gs://vmrc-fresh-metagenome/sequence_reads/Illumina/127-33-0739-543-10270.R1.fq.gz	VMRC_FRESH_127-33-0739-543-10270,vmrc:lib-ce36a4c4
